rule_name,pattern,expected_flag,run,verdict
gen014_unchanged,unchanged,no,4,False
gen014_unchanged,unchanged,no,5,False
gen020_unchanged,unchanged,no,1,False
gen020_unchanged,unchanged,no,2,False
gen020_unchanged,unchanged,no,3,False
gen020_unchanged,unchanged,no,4,False
gen020_unchanged,unchanged,no,5,False
gen008_weakened_condition,weakened_condition,yes,1,True
gen008_weakened_condition,weakened_condition,yes,2,True
gen008_weakened_condition,weakened_condition,yes,3,True
gen008_weakened_condition,weakened_condition,yes,4,True
gen008_weakened_condition,weakened_condition,yes,5,True
gen019_weakened_condition,weakened_condition,yes,1,True
gen019_weakened_condition,weakened_condition,yes,2,True
gen019_weakened_condition,weakened_condition,yes,3,True
gen019_weakened_condition,weakened_condition,yes,4,True
gen019_weakened_condition,weakened_condition,yes,5,True
gen026_weakened_condition,weakened_condition,yes,1,True
gen026_weakened_condition,weakened_condition,yes,2,True
gen026_weakened_condition,weakened_condition,yes,3,True
gen026_weakened_condition,weakened_condition,yes,4,True
gen026_weakened_condition,weakened_condition,yes,5,True
gen039_weakened_condition,weakened_condition,yes,1,True
gen039_weakened_condition,weakened_condition,yes,2,True
gen039_weakened_condition,weakened_condition,yes,3,True
gen039_weakened_condition,weakened_condition,yes,4,True
gen039_weakened_condition,weakened_condition,yes,5,True
